"archive","Available To Vector Store","Chunk Overlap","Chunk Size","date","Date display","Name","notes","Organization","parent","Related calendar items","URL"
"","yes","","","Nov 5, 2025 3:00 am","Year","2025 RBC Forecasting and Instructions-Property & Casualty ","","1709116945437x161688129805221900","1762349522126x396903884661194750","",""
"","yes","","","Dec 16, 2025 3:00 am","Year","Group Capital Calculation 2025 Instructions","","1709123936620x549171307625840600","1765917054200x179832289688813570","","https://content.naic.org/sites/default/files/inline-files/2025%20GCC%20Instructions.pdf"
"","yes","","","Dec 17, 2024 3:00 am","Month, Year","Insurance Capital Standard Level 1 and Level 2 texts (December 2024)","","1709121875366x242722658285518850","1766017959278x382496908902400000","","https://www.iais.org/uploads/2024/12/ICS-Level-1-and-Level-2-texts.pdf"
"","yes","","","Dec 19, 2025 3:00 am","Year","Purposes and Procedures Manual of the NAIC Investment Analysis Office - 2025","","1709131994585x962805678810857500 , 1709125124848x497856270785052700","1766157849439x632827577829949400","","https://content.naic.org/sites/default/files/publications-ppm-manual.pdf"
"","yes","","","Aug 10, 2025 3:00 am","Full date","2025_Summer_National_MeetingVol_1.pdf","","1709116945437x161688129805221900","1769035291632x319111389160144900","","https://content.naic.org/sites/default/files/publications-pr-zs-25-sum-vol1.pdf"
"","yes","","","Dec 22, 2025 3:00 am","Full date","2025 Year-End Long-Term Instructions Handbook (BMA)","","1710410940363x500047838171365400","1769626479698x806374597782405100","","https://cdn.bma.bm/documents/2025-12-19-15-00-17-2025-Year-end-Long-Term-Instructions-Handbook.pdf"
"","yes","","","Feb 21, 2025 3:00 am","Full date","RMBS: S&P Global Methodology And Assumptions U.S. And Canada","","1712748467050x342337049091637250","1769815852260x129550190407319550","",""
"","yes","","","Nov 15, 2023 3:00 am","Full date","S&P Insurer Risk-Based Capital Adequacy - Methodology And Assumptions","","1712748467050x342337049091637250","1769816108300x836961680189030400","",""
"","yes","","","Apr 18, 2024 3:00 am","Full date","Ratings.Moodys.com_Reinsurance-Methodology-4-18-24.html","","1769874917325x840376975964766200","1769874247668x219250880178552830","",""
"","yes","","","May 24, 2024 3:00 am","Full date","Ratings.Moodys.com_Asset_Managers-Methodology-5-23-24","","1769874917325x840376975964766200","1769874249269x305369690798293000","",""
"","yes","","","Apr 8, 2024 3:00 am","Full date","Moody's Rating Methodology Life Insurers","","1769874917325x840376975964766200","1769876048474x560586717054894100","",""
"","yes","","","Apr 8, 2024 3:00 am","Full date","Moody's Rating Methodology P&C Insurers","","1769874917325x840376975964766200","1769876049922x476114579992608800","",""
"","yes","","","Feb 8, 2024 3:00 am","Full date","Moody's Rating Methodology Health Insurers","","1769874917325x840376975964766200","1769876051461x354502450330730500","",""
"","yes","","","Nov 18, 2024 3:00 am","Full date","Moody's Rating Methodology Close-end Funds","","1769874917325x840376975964766200","1769876055109x689858689848836100","",""
"","yes","","","Jun 21, 2019 3:00 am","Full date","S&P Criteria | Structured Finance | CDOs: Global Methodology And Assumptions For CLOs And Corporate CDOs","","1712748467050x342337049091637250","1769877923256x720368659629342700","",""
"","yes","","","Dec 9, 2021 3:00 am","Full date","S&P-Criteria _ Financial Institutions _ Banks_ BICRA","","1712748467050x342337049091637250","1769878004306x499581594800750600","",""
"","yes","","","Jan 7, 2024 3:00 am","Full date","S&P-Criteria _ Corporates _ General_ Corporate","","1712748467050x342337049091637250","1769878006623x949398881994276900","",""
"","yes","","","Oct 13, 2025 3:00 am","Full date","S&P-General Criteria_ Hybrid Capital","","1712748467050x342337049091637250","1769878668779x315530885619777540","",""
"","yes","","","Nov 19, 2018 3:00 am","Full date","S&P-Criteria _ Insurance _ Linked Notes","","1712748467050x342337049091637250","1769878670551x780426956013830100","",""
"","yes","","","Jul 25, 2025 3:00 am","Full date","S&P-Criteria _ Structured Finance _ Counterparty risk","","1712748467050x342337049091637250","1769878672522x172396091620458500","",""
"","yes","","","Dec 14, 2014 3:00 am","Full date","S&P-Criteria _ Structured Finance _ Covered Bonds","","1712748467050x342337049091637250","1769878674314x827806409483616300","",""
"","yes","","","Mar 31, 2022 3:00 am","Full date","S&P-Criteria _ Structured Finance _ Consumer ABS","","1712748467050x342337049091637250","1769878753394x712923475337805800","",""
"","yes","","","Aug 21, 2025 3:00 am","Full date","S&P Criteria _ Structured Finance _ CMBS_ CMBS","","1712748467050x342337049091637250","1769878755279x271792899077701630","",""
"","yes","","","Oct 9, 2025 3:00 am","Full date","AMBest-Understanding BCAR for US and Canadian Life-Health Insurers","","1769874985246x271992715693522940","1769881169539x708242394125172700","",""
"","yes","","","Sep 18, 2025 3:00 am","Full date","AMBest-Understanding Global BCAR","","1769874985246x271992715693522940","1769881170676x562579681981235200","",""
"","yes","","","Sep 18, 2025 3:00 am","Full date","AMBest-Available Capital and Insurance Holding Company Analysis","","1769874985246x271992715693522940","1769881171758x890589414905086000","",""
"","yes","","","Feb 8, 2024 3:00 am","Full date","AMBest-Catastrophe Analysis in Ratings","","1769874985246x271992715693522940","1769881172730x547668578546483200","",""
"","yes","","","Jun 13, 2024 3:00 am","Full date","AMBest-US Surplus Notes","","1769874985246x271992715693522940","1769881173760x591394242224980000","",""
"","yes","","","Oct 9, 2025 3:00 am","Full date","AMBest-Understanding BCAR for P&C Insurers","","1769874985246x271992715693522940","1769881174794x324196731625930750","",""
"","yes","","","Aug 29, 2024 3:00 am","Full date","AMBest-Credit Rating Methodology","","1769874985246x271992715693522940","1769881175878x746837315850076200","",""
"","yes","","","Dec 5, 2025 3:00 am","Full date","Moody's-Cross-Sector Rating Methodology_ Assigning Instrument Ratings for Insurers","","1769874917325x840376975964766200","1769882643157x894215176803844100","",""
"","yes","","","Mar 13, 2025 3:00 am","Full date","Fitch Rating Process","","1710751554724x364755598470021100","1769883103326x482488416130039800","",""
